[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,2.297979798,2.807843137,2.241860465,2.049689441,2.508571429,2.345794393,2.194285714,2.92519685,2.329949239,2.784090909,2.921875,2.698039216,2.352272727,3.275862069,3.371841155,2.508547009,3.212598425,2.25625,2.845070423,2.13559322,2.116564417,2.520737327,2.540816327,2.161490683,2.570754717,2.635514019,2.206896552,2.278688525,2.273224044,2.748031496,2.537197624
,2.979400749,3.052930057,2.518072289,2.591036415,3.137996219,2.697424893,2.881526104,3.104627767,2.741550696,2.742596811,3.098412698,2.989316239,2.413173653,3.519327731,3.331439394,2.801603206,2.782051282,2.473684211,2.888888889,3.184397163,2.835849057,2.988679245,2.887775551,2.920454545,2.676399027,2.857831325,2.592342342,2.691906005,2.82195122,2.891129032,2.869792461
,2.830449827,2.840707965,3.001102536,3.072704082,3.249275362,2.935260116,2.878980892,2.855231144,2.98519889,3.239202658,2.829646018,2.944751381,2.619122257,2.980066445,2.880398671,2.752486188,2.396875,3.017137097,3.03907075,3.336363636,2.748993289,2.782407407,2.710814095,2.973451327,3.079646018,3.07718894,3.112121212,3.382092199,2.745849298,2.957026713,2.94178738
,3.051178451,2.837988827,3.031457955,3.155555556,2.754894851,2.771256584,2.831198191,2.803599374,2.856044724,2.718431373,2.743931088,3.027952481,2.6534235,2.825235678,2.666666667,2.752188552,2.873004354,2.972744971,2.820029028,2.90976431,2.741962775,3.040909091,2.758367347,2.768854749,2.803167421,3.338972431,2.769956459,2.711784512,2.948855989,2.53974122,2.84930395
,2.845192308,2.530311305,2.731795568,2.806451613,2.700961538,2.646218932,2.677419355,2.590626765,2.632469593,2.701884921,2.540256709,3.019711538,2.771444695,2.640633534,2.594626168,2.487572713,2.945725916,2.59693608,2.606765328,2.666170635,2.841269841,2.751048951,2.59039548,2.752602876,2.535943892,2.782692308,2.545355191,2.565284178,2.610542477,2.499415888,2.673590877
,2.47143975,2.520910973,2.499798793,2.429667519,2.434782609,2.342052314,2.454824561,2.52248729,2.499792961,2.593483895,2.429574375,2.575899844,2.595129376,2.461971831,2.350813743,2.384708249,2.505380795,2.51884058,2.437153813,2.522300469,2.495652174,2.492009132,2.492753623,2.628325509,2.400175516,2.49416499,2.51552795,2.412008282,2.468309859,2.519170579,2.482303712
,2.336996337,2.273513514,2.400519312,2.374553716,2.393857272,2.266796495,2.517405063,2.34672572,2.328338328,2.441975309,2.294774775,2.344044142,2.382018825,2.393703343,2.296370296,2.222829802,2.332334332,2.335611757,2.364816618,2.367721519,2.325964912,2.349050633,2.217986677,2.328288288,2.412341772,2.420957543,2.289122807,2.383860759,2.318078546,2.345342421,2.346863361
,2.270868347,2.305120167,2.286287089,2.256454389,2.386108274,2.16022409,2.409506399,2.309244127,2.26649455,2.24749068,2.207407407,2.284268126,2.315645514,2.374085684,2.268067227,2.200803213,2.303063457,2.228628801,2.229411765,2.288645691,2.310671256,2.234733894,2.250073465,2.2525587,2.291234948,2.219546346,2.24749068,2.257181943,2.239215686,2.267507003,2.272267964
,2.228845255,2.159654044,2.204031355,2.140659341,2.210144928,2.108217869,2.280403135,2.157858614,2.170670327,2.183474788,2.177257525,2.158773736,2.216196847,2.180691912,2.143334926,2.184854724,2.172978027,2.251285647,2.173541616,2.286297251,2.263377193,2.108424908,2.227208976,2.183394383,2.247769389,2.225657895,2.204639805,2.262280702,2.090387016,2.185998627,2.192943692
,2.114874816,2.137060765,2.172673267,2.125953412,2.064277716,2.146980004,2.186971758,2.07400536,2.17190177,2.184848485,2.115525016,2.131881188,2.159554731,2.109750859,2.129457844,2.097293814,2.116058545,2.161822305,2.108180507,2.164477441,2.202873228,2.142178218,2.099656357,2.22655795,2.254653465,2.08040404,2.078682525,2.153816867,2.133566298,2.156039604,2.140065939
