[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,1.771428571,1.885714286,1.942857143,1.828571429,1.714285714,1.885714286,1.714285714,1.885714286,1.828571429,1.885714286,1.714285714,1.657142857,1.828571429,1.771428571,1.771428571,1.828571429,1.828571429,1.828571429,1.6,1.885714286,1.828571429,1.885714286,1.714285714,1.885714286,1.771428571,1.771428571,1.714285714,1.885714286,1.657142857,1.885714286,1.801904762
,2.19047619,2.380952381,2.523809524,2.238095238,2.19047619,2.333333333,2.238095238,2.285714286,2.333333333,2.476190476,2.142857143,2.142857143,2.333333333,2.285714286,2.238095238,2.142857143,2.333333333,2.333333333,2.142857143,2.285714286,2.238095238,2.19047619,2.142857143,2.333333333,2.285714286,2.142857143,2.238095238,2.380952381,2.142857143,2.095238095,2.258730159
,2.979591837,3.06122449,3.183673469,2.979591837,2.897959184,2.979591837,2.897959184,2.979591837,3.020408163,3.142857143,2.612244898,2.93877551,2.857142857,2.897959184,2.979591837,2.816326531,3.06122449,3.06122449,2.93877551,2.857142857,2.93877551,2.734693878,2.897959184,3.020408163,2.979591837,2.734693878,3.142857143,3.06122449,2.775510204,2.816326531,2.941496599
,3.821428571,3.964285714,4.107142857,4,3.857142857,3.928571429,3.75,3.928571429,4,4.035714286,3.571428571,3.821428571,3.642857143,3.821428571,3.857142857,3.785714286,3.857142857,3.678571429,3.75,3.785714286,3.821428571,3.785714286,3.678571429,3.714285714,3.964285714,3.607142857,4,3.964285714,3.571428571,3.571428571,3.821428571
,5.047619048,5.111111111,5.206349206,5.238095238,4.888888889,5.111111111,4.888888889,5.142857143,5.174603175,5.238095238,4.73015873,4.952380952,4.825396825,5.111111111,4.984126984,5.047619048,4.857142857,4.793650794,5.079365079,4.920634921,5.015873016,5.079365079,4.888888889,4.952380952,5.238095238,4.825396825,5.206349206,5.142857143,4.761904762,4.698412698,5.005291005
,6.542857143,6.685714286,6.628571429,6.742857143,6.228571429,6.514285714,6.342857143,6.714285714,6.885714286,6.657142857,6.142857143,6.428571429,6.342857143,6.771428571,6.457142857,6.771428571,6.628571429,6.4,6.571428571,6.542857143,6.657142857,6.742857143,6.457142857,6.314285714,7.085714286,6.314285714,6.771428571,6.6,6.285714286,6.142857143,6.545714286
,8.181818182,8.909090909,8.441558442,8.467532468,8.103896104,8.545454545,8.12987013,8.571428571,8.831168831,8.415584416,8.181818182,8.38961039,8.207792208,8.571428571,8.675324675,8.675324675,8.415584416,8.597402597,8.467532468,8.38961039,8.38961039,8.857142857,8.25974026,8.181818182,8.857142857,8.285714286,8.883116883,8.519480519,8.25974026,8.051948052,8.457142857
,10.45238095,11.38095238,10.78571429,10.64285714,10.57142857,10.76190476,10.64285714,10.83333333,11.11904762,10.92857143,10.45238095,10.95238095,10.45238095,11.02380952,11.14285714,11.0952381,10.83333333,10.85714286,10.80952381,10.66666667,10.61904762,11.45238095,10.54761905,10.52380952,11.26190476,10.47619048,11.14285714,10.78571429,10.57142857,10.45238095,10.80793651
,13.0989011,13.84615385,13.27472527,12.9010989,12.98901099,13.07692308,13.01098901,13.38461538,13.58241758,13.42857143,13.07692308,13.45054945,12.59340659,13.38461538,13.51648352,13.6043956,13.42857143,13.58241758,13.36263736,13.25274725,13.01098901,13.78021978,12.92307692,13.03296703,13.6043956,13.01098901,13.56043956,13.16483516,13.23076923,12.61538462,13.25934066
,15.95918367,16.65306122,16.32653061,15.75510204,15.75510204,16.12244898,15.6122449,16.3877551,16.55102041,16.28571429,15.89795918,16.30612245,15.53061224,16.30612245,16.6122449,16.51020408,16.32653061,16.51020408,16.16326531,16.2244898,15.53061224,16.46938776,15.67346939,15.81632653,16.65306122,15.83673469,16.46938776,16.06122449,16.08163265,15.65306122,16.13469388
,18.78095238,18.93333333,18.87619048,18.4,18.41904762,18.97142857,18.3047619,18.99047619,19.35238095,19.1047619,18.62857143,18.87619048,18.22857143,18.74285714,19.35238095,18.87619048,18.85714286,19.16190476,18.62857143,19.04761905,18.43809524,19.37142857,18.15238095,18.17142857,19.18095238,18.74285714,19.2,18.74285714,18.60952381,18.11428571,18.7752381
,20.16806723,20.75630252,20.26890756,20.10084034,19.98319328,20.38655462,20.20168067,20.33613445,20.53781513,20.63865546,20.18487395,20.40336134,19.81512605,20.38655462,20.65546218,20.35294118,20.47058824,20.60504202,20.10084034,20.87394958,20.11764706,20.7394958,19.68067227,19.73109244,20.50420168,20.33613445,20.63865546,20.13445378,20.05042017,19.71428571,20.29579832
,21.42857143,21.80451128,21.65413534,21.30827068,21.27819549,21.59398496,21.42857143,21.54887218,21.83458647,21.7593985,21.54887218,21.80451128,21.27819549,21.36842105,22,21.57894737,21.26315789,21.66917293,21.68421053,21.86466165,21.36842105,21.93984962,21.09774436,21.20300752,21.5037594,21.5037594,21.81954887,21.38345865,21.63909774,21.39849624,21.5518797
