[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,2.103448276,1.979591837,1.775,1.958333333,2.220338983,2.016949153,2.191176471,2.188405797,2,2.172413793,2.835443038,1.833333333,1.979591837,2.188405797,1.96,1.617647059,2.186440678,2.103448276,2.6,2.289855072,1.895833333,2,1.780487805,1.846153846,2.13559322,2.289855072,1.94,2.264705882,2.137931034,1.857142857,2.078250859
,2.935251799,1.886075949,2.197674419,2.637168142,3.344827586,2.503875969,2.75483871,3.362694301,2.775193798,3.117977528,2.782258065,2.242105263,3.310880829,2.581196581,3.005128205,3.080645161,2.819548872,2.35,2.99375,3.092307692,3.008064516,2.49122807,2.821705426,2.359550562,3.211267606,3.086206897,2.37254902,2.31372549,2.5,2.961538462,2.763307831
,4.130890052,3.492537313,3.433014354,3.737980769,3.336384439,3.066066066,2.97733711,4.241992883,3.223744292,3.743315508,3.239473684,3.689393939,4.007532957,3.800429185,3.193181818,3.473053892,4.524520256,3.572916667,3.257985258,3.277272727,2.829508197,3.702517162,3.799086758,3.265861027,3.572727273,3.392354125,4.077669903,3.71257485,2.523809524,3.231578947,3.517557031
,3.867676768,3.502427184,3.868951613,3.838383838,3.661129568,3.307514451,3.140947752,3.637739657,3.449494949,3.6,3.43786295,3.281284607,3.602898551,3.763535912,3.103494624,3.459196102,3.486800422,3.420441347,3.125641026,3.416389812,3.62195122,3.597914253,3.479951397,3.449074074,3.510855683,3.1774942,3.76744186,3.741150442,3.707528958,3.18822023,3.507113115
,3.203193033,3.25993266,3.626739262,3.516031458,3.233502538,3.238311688,3.21952862,3.06219427,3.111111111,3.430807765,3.207008436,2.928683386,3.204887218,3.466425993,3.024096386,2.928979592,3.140363128,3.242207792,3.325468845,2.857466063,3.335994194,2.853181077,3.221174764,3.161828737,3.543506494,2.874021909,3.141061453,2.962479608,3.115715403,3.070836473,3.183557979
,2.872747133,2.92609127,3.011759385,3.201931519,2.731038506,2.990502035,2.872569089,2.77525119,2.761202186,3.060921248,2.926806527,2.780337942,2.795138889,2.812596006,2.915151515,2.884424603,2.83391175,2.866346154,2.870673077,2.68202765,3.046634615,2.804403482,2.897596154,2.909882232,2.896934461,2.817124736,2.868407578,2.962109575,2.872131148,2.712733856,2.878646184
,2.721440397,2.539098055,2.641614217,2.736764161,2.664596273,2.633873874,2.637911884,2.58028169,2.568209256,2.771566087,2.674194743,2.548490946,2.49544702,2.563561077,2.515090543,2.668622848,2.485300207,2.695855856,2.570422535,2.677837838,2.55943758,2.595070423,2.566118936,2.576054538,2.625754527,2.663907285,2.607352366,2.747716895,2.573058359,2.711182623,2.620527768
,2.595650896,2.506004544,2.522222222,2.541382668,2.492405063,2.444444444,2.533333333,2.447581954,2.482278481,2.563620335,2.427097204,2.433697881,2.409474367,2.525,2.385947386,2.480532122,2.294035088,2.472222222,2.483933788,2.458333333,2.553146643,2.358918919,2.551339958,2.609300854,2.379515959,2.510058404,2.518209877,2.533875339,2.504993342,2.545061728,2.485453945
,2.35815047,2.424668029,2.403217569,2.351540616,2.277030812,2.283447332,2.424485432,2.391071906,2.386520296,2.347178683,2.420062696,2.332694938,2.226498237,2.395142335,2.343782654,2.487890137,2.30140056,2.329056402,2.277591036,2.330392943,2.373301985,2.392141139,2.4159857,2.51557712,2.287140341,2.336798906,2.384012539,2.385342186,2.443054137,2.384656509,2.366994455
,2.247078074,2.291666667,2.292324561,2.249883123,2.233754091,2.186096512,2.260694289,2.279166667,2.204940531,2.269517544,2.320394737,2.339753639,2.261108457,2.310745614,2.238377193,2.294373285,2.261038664,2.216197666,2.250514756,2.260918253,2.30864717,2.319517544,2.278947368,2.305039194,2.3193729,2.241623711,2.287719298,2.230014025,2.293840985,2.204720729,2.268599575
