[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,0.777777778,0.722222222,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.722222222,0.722222222,0.777777778,0.722222222,0.777777778,0.722222222,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.722222222,0.777777778,0.777777778,0.722222222,0.722222222,0.722222222,0.777777778,0.777777778,0.761111111
,1.069767442,1.023255814,1.069767442,1.11627907,1.069767442,1.11627907,1.11627907,0.976744186,1.023255814,1.069767442,1.069767442,1.069767442,0.976744186,1.11627907,1.11627907,1.069767442,1.11627907,1.11627907,1.069767442,1.11627907,1.069767442,1.023255814,1.023255814,1.11627907,1.069767442,1.069767442,1.023255814,1.023255814,1.11627907,1.023255814,1.068217054
,1.6,1.44,1.56,1.6,1.56,1.56,1.68,1.44,1.56,1.56,1.64,1.6,1.48,1.6,1.72,1.56,1.6,1.68,1.6,1.68,1.6,1.591836735,1.48,1.68,1.52,1.6,1.56,1.56,1.72,1.48,1.583727891
,2.385964912,2.140350877,2.350877193,2.350877193,2.280701754,2.280701754,2.350877193,2.140350877,2.315789474,2.140350877,2.456140351,2.385964912,2.245614035,2.315789474,2.49122807,2.280701754,2.280701754,2.421052632,2.385964912,2.421052632,2.315789474,2.327272727,2.245614035,2.49122807,2.280701754,2.385964912,2.245614035,2.315789474,2.49122807,2.245614035,2.325528974
,3.25,2.9375,3.3125,3.4375,3.1875,3.25,3.34375,3,3.3125,3.03125,3.5625,3.3125,3.15625,3.34375,3.53125,3.1875,3.25,3.375,3.40625,3.5,3.28125,3.344262295,3.15625,3.53125,3.25,3.28125,3.21875,3.21875,3.59375,3.28125,3.294808743
,4.535211268,4.169014085,4.732394366,4.788732394,4.450704225,4.422535211,4.647887324,4.197183099,4.563380282,4.281690141,4.901408451,4.647887324,4.507042254,4.732394366,4.788732394,4.507042254,4.676056338,4.676056338,4.676056338,4.873239437,4.61971831,4.686567164,4.394366197,4.873239437,4.61971831,4.61971831,4.478873239,4.563380282,4.873239437,4.61971831,4.604106229
,6.128205128,5.820512821,6.435897436,6.461538462,6.153846154,5.948717949,6.512820513,5.846153846,6.384615385,5.846153846,6.641025641,6.256410256,6.153846154,6.41025641,6.615384615,6.179487179,6.487179487,6.256410256,6.358974359,6.641025641,6.307692308,6.164383562,6.307692308,6.692307692,6.205128205,6.435897436,6.179487179,6.256410256,6.820512821,6.256410256,6.305479452
,8.305882353,7.670588235,8.729411765,8.423529412,8.258823529,7.976470588,8.494117647,7.811764706,8.352941176,7.929411765,8.658823529,8.423529412,8.094117647,8.682352941,8.776470588,8.305882353,8.682352941,8.282352941,8.541176471,8.635294118,8.376470588,8.101265823,8.470588235,8.917647059,8.211764706,8.541176471,8.023529412,8.494117647,8.941176471,8.352941176,8.382199057
,10.82608696,10.15217391,11.15217391,10.67391304,10.7173913,10.19565217,11.02173913,10.36956522,10.82608696,10.34782609,11.2173913,10.80434783,10.5,11.30434783,11.23913043,10.52173913,11.10869565,10.69565217,10.93478261,11.19565217,10.89130435,10.18823529,10.69565217,11.41304348,10.58695652,11.04347826,10.43478261,10.86956522,11.43478261,10.65217391,10.80047741
,13.6969697,13.05050505,14.08080808,13.39393939,13.47474747,13.17171717,14.18181818,13.21212121,13.41414141,12.92929293,14.06060606,13.63636364,13.25252525,14,14.1010101,13.37373737,14.1010101,13.51515152,13.7979798,13.91919192,13.73737374,12.94505495,13.57575758,14.62626263,13.17171717,13.65656566,13.21212121,13.5959596,14.3030303,13.15151515,13.61129981
,16.60377358,16.09433962,16.75471698,16.0754717,16.30188679,16.1509434,17.11320755,16.39622642,16.22641509,15.73584906,16.86792453,16.47169811,16.16981132,16.8490566,16.96226415,16.09433962,16.96226415,16.69811321,17.03773585,16.79245283,16.58490566,15.5257732,16.58490566,17.35849057,16.39622642,16.60377358,16.13207547,16.05660377,17.24528302,15.96226415,16.4936264
,18.51666667,18.26666667,18.56666667,17.95,18.3,18.18333333,18.85,18.5,17.96666667,17.78333333,18.91666667,18.56666667,18.2,18.73333333,19.18333333,18.1,18.8,18.78333333,18.76666667,18.63333333,18.51666667,18.31067961,18.81666667,19.11666667,18.26666667,18.75,18.26666667,18.11666667,19.05,18.16666667,18.49813376
,20.08955224,20.10447761,20.37313433,19.94029851,19.92537313,20.01492537,20.64179104,20.11940299,20.01492537,19.64179104,20.56716418,20.34328358,19.88059701,20.2238806,20.56716418,20.11940299,20.50746269,20.28358209,20.29850746,20.2238806,20.2238806,19.87826087,20.73134328,20.55223881,20.02985075,20.44776119,20.19402985,19.88059701,20.8358209,20.17910448,20.22778283
,21.90540541,21.71621622,22.31081081,21.7027027,21.86486486,21.87837838,22.36486486,21.7027027,21.68918919,21.58108108,22.06756757,22.09459459,21.66216216,22,22.39189189,22.02702703,22.43243243,22.16216216,22.09459459,21.86486486,21.81081081,21.37007874,22.52702703,22.28378378,22.08108108,22.22972973,21.97297297,21.52702703,22.68918919,22,22.0001738
,23.56790123,23.2345679,23.72839506,23.4691358,23.43209877,23.25925926,23.77777778,23.09876543,23.2962963,23.04938272,23.51851852,23.44444444,23.2962963,23.48148148,23.85185185,23.49382716,23.90123457,23.83950617,23.45679012,23.37037037,23.24691358,22.87769784,23.72839506,23.80246914,23.39506173,23.51851852,23.5308642,23.04938272,24.03703704,23.60493827,23.47863931
,25.10227273,24.95454545,24.94318182,25.02272727,24.84090909,24.76136364,25.22727273,24.76136364,24.89772727,24.69318182,25.06818182,25.17045455,24.53409091,24.95454545,25.18181818,25.13636364,25.30681818,25.10227273,25.06818182,24.77272727,24.73863636,24.13245033,25.03409091,25.52272727,24.94318182,24.95454545,25.19318182,24.54545455,25.38636364,25,24.96502107
,26.2,26.23157895,26.05263158,26.10526316,26.05263158,25.96842105,26.31578947,25.97894737,26.03157895,26,26.26315789,26.21052632,25.87368421,26.07368421,26.03157895,26.23157895,26.36842105,26.24210526,26.30526316,25.96842105,25.90526316,25.39877301,26.2,26.65263158,26.36842105,26.37894737,26.30526316,25.96842105,26.26315789,26.29473684,26.14136261
,27.52941176,27.60784314,27.46078431,27.53921569,27.31372549,27.44117647,27.39215686,27.24509804,27.51960784,27.37254902,27.6372549,27.65686275,27.31372549,27.38235294,27.45098039,27.5,27.61764706,27.47058824,27.65686275,27.46078431,27.34313725,26.17142857,27.56862745,27.81372549,27.67647059,27.8627451,27.6372549,27.39215686,27.48039216,27.76470588,27.47597572
,28.92444444,29.12,29.04,29.14666667,28.90666667,29.05777778,28.94222222,29.03111111,29.10222222,29.02222222,29.21777778,29.15555556,28.78222222,28.59555556,28.98666667,29.24444444,29.23555556,29.08444444,28.96,29.02222222,28.89777778,27.20855615,29.08444444,29.06666667,29.00444444,29.2,29.01333333,28.95111111,28.80888889,29.28,28.96976669
,30.29268293,30.40650407,30.27642276,30.47154472,30.16260163,30.29268293,30.30081301,30.19512195,30.45528455,30.42276423,30.49593496,30.42276423,29.95121951,30.08130081,30.34146341,30.43902439,30.42276423,30.27642276,30.25203252,30.26829268,30.2601626,28.19095477,30.42276423,30.38211382,30.32520325,30.31707317,30.14634146,30.26829268,30.07317073,30.47154472,30.23617546
,32.84644195,32.47191011,32.48689139,32.70411985,32.56928839,32.50187266,32.48689139,32.5093633,32.74157303,32.83895131,32.53932584,32.61423221,32.27715356,32.48689139,32.48689139,32.46441948,32.80149813,32.56928839,32.32958801,32.35955056,32.47940075,29.01421801,32.86142322,32.66666667,32.52434457,32.77153558,32.55430712,32.43445693,32.62921348,32.69662921,32.45727793
,34.72222222,34.33333333,34.36111111,34.52083333,34.34722222,34.24305556,34.16666667,34.22222222,34.30555556,34.5625,34.36111111,34.375,33.94444444,34.34722222,34.34722222,34.22916667,34.51388889,34.33333333,34.28472222,34.1875,34.20138889,30.19213974,34.67361111,34.36111111,34.36111111,34.375,34.19444444,34.375,34.125,34.52083333,34.20293244
,37.71521036,37.06796117,36.95145631,37.33980583,37.00970874,37.25566343,37.16504854,36.91909385,37.30744337,37.46925566,37.08737864,37.2038835,36.78317152,37.17152104,37.1197411,37.22330097,37.37216828,37.197411,37.17799353,37.17799353,37.15857605,31.30364372,37.4433657,37.10679612,37.12621359,37.46278317,37.10032362,37.2038835,37.0420712,37.39158576,37.00181509
,39.97626113,39.59050445,39.50148368,39.72106825,39.33531157,39.52522255,39.61424332,39.53709199,39.59643917,39.63204748,39.48367953,39.5727003,39.07418398,39.53115727,39.59050445,39.51335312,39.51928783,39.40059347,39.53709199,39.56676558,39.50148368,33.06415094,39.79228487,39.55489614,39.6735905,39.82195846,39.47774481,39.65578635,39.25816024,39.66765579,39.3428901
,43.13972603,43.07945205,42.64657534,42.84383562,42.62465753,42.85479452,42.94246575,42.79452055,42.93150685,42.55890411,42.70684932,42.91506849,42.42191781,42.66849315,42.87671233,42.73424658,42.6739726,42.5260274,42.60821918,42.74520548,42.66849315,34.69257951,43.09041096,42.6630137,42.87123288,43.11780822,42.85479452,42.85479452,42.44931507,42.90958904,42.51550607
,46.29007634,46.27989822,46.05089059,46.39694656,45.75063613,46.20356234,46.09160305,46.22900763,46.16793893,46.07124682,45.96946565,46.17811705,45.7913486,46.02035623,46.05597964,46.15776081,45.9389313,45.97964377,45.79643766,46.07633588,45.90839695,36.85049834,46.4783715,46.17811705,46.09160305,46.43765903,46.23409669,46.10687023,45.9389313,46.14249364,45.7954407
