[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,0.914285714,0.857142857,0.857142857,0.914285714,0.8,0.914285714,0.914285714,0.914285714,0.857142857,0.914285714,0.914285714,0.857142857,0.914285714,0.914285714,0.914285714,0.914285714,0.914285714,0.914285714,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.857142857,0.914285714,0.857142857,0.914285714,0.8,0.914285714,0.883809524
,1.238095238,1.285714286,1.238095238,1.380952381,1.238095238,1.380952381,1.333333333,1.333333333,1.285714286,1.333333333,1.380952381,1.333333333,1.380952381,1.333333333,1.285714286,1.380952381,1.380952381,1.380952381,1.333333333,1.285714286,1.238095238,1.285714286,1.238095238,1.333333333,1.333333333,1.428571429,1.285714286,1.428571429,1.142857143,1.380952381,1.320634921
,1.87755102,1.918367347,1.795918367,1.87755102,1.795918367,2.081632653,2.040816327,2,1.87755102,2,1.918367347,1.959183673,2.081632653,1.959183673,1.918367347,2.040816327,2.040816327,1.918367347,1.918367347,1.87755102,1.795918367,1.918367347,1.836734694,1.918367347,1.959183673,2.040816327,1.87755102,2.040816327,1.673469388,1.918367347,1.929251701
,2.642857143,2.821428571,2.535714286,2.714285714,2.642857143,3.071428571,2.892857143,2.821428571,2.75,2.785714286,2.75,2.892857143,2.892857143,2.857142857,2.678571429,2.928571429,2.75,2.785714286,2.785714286,2.75,2.642857143,2.75,2.678571429,2.714285714,2.678571429,2.821428571,2.821428571,2.928571429,2.428571429,2.75,2.76547619
,3.746031746,3.873015873,3.650793651,3.777777778,3.682539683,4.222222222,4.063492063,3.904761905,3.968253968,3.841269841,3.714285714,4.063492063,4.095238095,3.968253968,3.746031746,3.936507937,3.746031746,3.80952381,3.936507937,3.873015873,3.619047619,3.904761905,3.80952381,3.80952381,3.619047619,3.777777778,3.936507937,4.095238095,3.555555556,3.777777778,3.850793651
,4.971428571,5.4,5.085714286,5.257142857,4.942857143,5.885714286,5.542857143,5.285714286,5.371428571,5.2,5.142857143,5.714285714,5.657142857,5.371428571,5.057142857,5.371428571,5.171428571,5.2,5.371428571,5.371428571,5.114285714,5.457142857,5.257142857,5.142857143,5.114285714,5.342857143,5.371428571,5.571428571,4.857142857,5.057142857,5.288571429
,6.779220779,7.168831169,6.935064935,7.194805195,6.753246753,7.636363636,7.246753247,7.168831169,7.064935065,7.064935065,6.883116883,7.688311688,7.376623377,7.142857143,6.987012987,7.194805195,6.961038961,6.961038961,7.168831169,7.402597403,6.987012987,7.350649351,6.987012987,6.883116883,6.909090909,7.142857143,7.272727273,7.532467532,6.649350649,6.909090909,7.113419913
,8.976190476,9.30952381,9.333333333,9.30952381,9.119047619,9.976190476,9.642857143,9.476190476,9.380952381,9.261904762,9.142857143,10.0952381,9.476190476,9.523809524,9.261904762,9.476190476,9.476190476,9.19047619,9.214285714,9.714285714,9.285714286,9.5,9.238095238,9.166666667,9.261904762,9.380952381,9.571428571,9.976190476,8.80952381,9.047619048,9.386507937
,11.51648352,11.40659341,11.91208791,11.78021978,11.75824176,12.15384615,12.21978022,11.91208791,11.69230769,11.53846154,11.47252747,12.52747253,11.89010989,12.1978022,11.45054945,11.93406593,11.75824176,11.82417582,11.40659341,11.93406593,11.82417582,12.15384615,11.82417582,11.78021978,12.02197802,11.8021978,12.21978022,12.13186813,11.31868132,11.36263736,11.82417582
,14.57142857,14.46938776,15.02040816,14.69387755,14.75510204,14.73469388,14.97959184,14.81632653,14.42857143,14.48979592,14.51020408,15.3877551,14.55102041,15.06122449,14.57142857,14.85714286,14.69387755,14.85714286,14.3877551,14.73469388,14.65306122,15.06122449,14.73469388,14.6122449,15.2244898,14.85714286,15.08163265,15.18367347,14.24489796,14.14285714,14.74557823
